adopt,əˈdɑːpt,v. 收养；采取，采纳，接受；正式通过；选定（名字），承袭（风俗）；移居，定居；提名（某人）为候选人；保持（姿势）；<英>（地方当局）承担（道路）维修保养责任,高中
advanced,ədˈvænst,adj. 先进的；高级的，高等的；晚期的，状况不佳的；高龄的；新提出（尚未被广泛接受）的,高中
affect,əˈfekt,v. 影响；（疾病）侵袭，感染；（在感情上）深深打动，震撼；<正式> 假装，佯装,高中
agent,ˈeɪdʒənt,n. 代理人，代理商；（艺术界的）经纪人；间谍，特工；原动力，动因；剂；（语法）施动者；（美国某些政府部门的）官员,初中
aggregate,ˈæɡrɪɡət,n. 总数，合计；骨料，混凝料,CET6
aggregation,ˌæɡrɪˈɡeɪʃn,n. 聚集，聚合；（互联网）相关内容项的集合；聚集体，集合体,GRE
agile,ˈædʒ(ə)l,adj. （动作）敏捷的，灵活的；（思维）机敏的，机灵的；表示项目管理方法的,IELTS
agility,əˈdʒɪləti,n. （动作）敏捷，灵活；（思维）机敏,GRE
algorithm,ˈælɡərɪðəm,n. （尤指计算机）算法，运算法则,
alias,ˈeɪliəs,adv. 又名，化名（尤指演员或罪犯）,SAT
aliasing,ˈeliəsɪŋ; ˈeljəsɪŋ,v. 错误识别（信号频率）（alias 的现在分词）,
align,əˈlaɪn,v. 公开支持，与……结盟；（使）排成一条直线，使平行；调整，使一致；（使）参加，加入,CET6
alignment,əˈlaɪnmənt,n. 排成直线，摆放恰当；结盟；协调，一致；（铁路或道路的）路线；石排,CET6
allocate,ˈæləkeɪt,v. 分配，分派，划拨,高中
allocator,ˈæləkeɪtər,n. 分配算符,
allude,əˈluːd,v. 暗指，影射；略加提及；（艺术家，艺术品）使人想起（从前的作品或风格）,CET6
alphabetically,ˌælfəˈbetɪkli,adv. 照字母顺序排列地,
alphanumeric,ˌælfənuːˈmerɪk,adj. [计] 字母数字的,
ambiguous,æmˈbɪɡjuəs,adj. 模棱两可的，有歧义的；不明朗的，不确定的,高中
amenable,əˈmiːnəb(ə)l,adj. 有责任的：顺从的，服从的；有义务的；经得起检验的,TOEFL
amortization,ˌæmərtəˈzeɪʃn,n. [会计] 分期偿还,
amortize,ˈæmərtaɪz,vt. 摊销（等于 amortise）；分期偿还,商务英语
ampersand,ˈæmpərsænd,n. &的记号名称（＆等于 and）,
ample,ˈæmp(ə)l,adj. 充足的，充裕的；丰满的；宽敞的，巨大的,高中
analogous,əˈnæləɡəs,adj. 相似的，类似的；（器官）同功的,CET6
analogue,ˈænəlɔːɡ,n. 相似物，类似事情；相似化合物,CET6
"analogy
",əˈnælədʒi,n. 类比，比拟；用类比方法，进行比照；同功,CET6
analyze,ˈænəlaɪz,vt. 对……进行分析，分解（等于 analyse）,高中
anatomy,əˈnætəmi,n. 解剖学；（动植物的）组成结构，解剖构造；人体；剖析，详细分析；原因，成因；骨骼,IELTS
angle bracket,ˈæŋɡl brækɪt,尖括号：一种标点符号，通常用于表示代码或标记语言中的标签、注释或特定的文本结构。,
angle brackets,ˈæŋɡl ˈbrækɪts,尖括号：指标点“<”和“>”，在数学中用于表示不等式，在计算机编程中用于括起代码或表示泛型类型。,
annotation,ˌænəˈteɪʃ(ə)n,n. 注释，评注；注释，加注,TOEFL
annulment,əˈnʌlmənt,n. 取消；废除,商务英语
anomaly,əˈnɑːməli,n. 异常事物，反常现象；近点角，近点距离,TOEFL
anonymous,əˈnɑːnɪməs,adj. 匿名的，不知名的；不记名的，不具名的；无特色的,CET6
antagonist,ænˈtæɡənɪst,n. 对手，敌手，对立者；拮抗物；拮抗肌,CET6
API,ˌeɪ piː ˈaɪ,abbr. 空气污染指数（Air Pollution Index）；应用程序接口（Application Programming Interface）；精确位置指示器（Accurate Position Indicator）；美国石油学会（American Petroleum Institute）；自动发音教学机（Automated Pronunciation Instructor）,
appearance,əˈpɪrəns,n. 露面，演出；出庭，到场；外表，外观；表面现象，假象；出现；起源，问世；表现；出版，广播,高中
append,əˈpend,v. <正式>附加，增补,TOEFL
application,ˌæplɪˈkeɪʃ(ə)n,n. 正式申请，书面申请；申请书，申请表；敷用，涂抹；应用，实施；指称；应用软件；勤奋，努力,高中
apply to,əˈplaɪ tu,请求某事物，通常是正式的，特别是通过书面或提交表格的方式,
appropriate,əˈproʊpriət,adj. 合适的，相称的,高中
approximate,əˈprɑːksɪmət,adj. 大概的，近似的,高中
arbitrary,ˈɑːrbɪtreri,adj. 任意的，随心所欲的；专横的，武断的,高中
architecture,ˈɑːrkɪtektʃər,n. 建筑设计，建筑风格；建筑学；结构；计算机的体系结构，架构,高中
archive file,,存档文件：一种用于存储和组织多个文件或目录的文件格式，通常用于压缩和备份数据。,
argument,ˈɑːrɡjumənt,n. 争论，争吵；论据，理由；辩论，讨论；自变数；主词，受词；<古>书的内容提要,高中
arithmetic,əˈrɪθmətɪk,n. 算术；演算，计算；数据统计,高中
array,əˈreɪ,n. 一系列，大量；数组，阵列；盛装,CET6
arrow operator,,箭头操作符,
arrow operator arrow,,,
articulate,ɑːrˈtɪkjuleɪt,v. 明确表达，清楚说明；口齿清楚地说，清晰地发音；用关节连接，连结,CET6
ascent,əˈsent,n. 垂直上升；上坡路；攀登；（地位、职务的）提升，（水平的）提高；（某些宗教中的）升天,GRE
ask for,,请求见或与某人交谈,
aspect,ˈæspekt,n. 方面，特色；朝向，方位；外表，外观；（动词的）体,高中
assemble,əˈsemb(ə)l,v. （使）集合，（使）聚集；装配，组装,高中
assembly,əˈsembli,n. 议会，代表大会；集会，集会者；装配，组装；（计算机）汇编,CET4
assembly language,əˈsembli læŋɡwɪdʒ,汇编语言：一种编程语言，由助记符代码组成，对应于相应的机器语言指令。,
assert,əˈsɜːrt,v. 坚称，断言；维护，坚持（权利或权威）；坚持自己的主张，表现坚定；生效，起作用,CET6
asset,ˈæset,n. 有利条件，有价值的人或物；资产，财产,CET4
assign,əˈsaɪn,v. 分派，布置（工作、任务）；分配（某物）；指派，派遣；确定（价值、功能、时间、地点）；转让（财产、权利）,高中
assignment,əˈsaɪnmənt,n. 作业，任务；（工作等的）分配，指派；（财产、权利的）转让,高中
"assignment
",əˈsaɪnmənt,n. 作业，任务；（工作等的）分配，指派；（财产、权利的）转让,高中
assignment operator,,赋值运算符：一种用于将变量名所表示的存储位置中的值设置为特定值的运算符。,
associated,əˈsoʊsieɪtɪd,adj. 有关联的，相关的；联合的，联营的,高中
assume,əˈsuːm,v. 假定，假设，认为；装出，做出；承担，就职；呈现，具有；夺取，篡夺,高中
assured,əˈʃʊrd,adj. 自信的，有把握的；必将发生的，确定的；肯定得到（assured of sth.）,高中
asterisk,ˈæstərɪsk,n. 星号；星号键,GRE
astronomy,əˈstrɑːnəmi,n. 天文学,高中
asymmetric,ˌeɪsɪˈmetrɪk,adj. 不对称的；不对等的,GRE
asymmetry,ˌeɪˈsɪmətri,n. 不对称,IELTS
asynchronous,eɪˈsɪŋkrənəs,adj. [电] 异步的；不同时的；不同期的,
attribute,əˈtrɪbjuːt,v. 把……归因于；认为是……所作；认为……具有某种特质,高中
audience,ˈɔːdiəns,n. 观众，听众；读者；觐见，拜见；拥护者,高中
audio,ˈɔːdioʊ,adj. 声音的，音频的,CET4
authenticate,ɔːˈθentɪkeɪt,v. 鉴定；证明……是真实的；（用户，程序）验证身份,IELTS
authentication,ɔːˌθentɪˈkeɪʃn,n. 证明真实性，鉴定；身份验证，认证,
authorization,ˌɔːθərəˈzeɪʃ(ə)n,n. 批准书，授权书；批准，授权,CET4
automate,ˈɔːtəmeɪt,v. 使自动化,CET4
"automation
",ˌɔːtəˈmeɪʃ(ə)n,n. 自动化,CET4
auxiliary,ɔːɡˈzɪliəri,adj. 辅助的；备用的，后备的,CET6
availability,əˌveɪləˈbɪləti,n. 可用性，可得性；空闲，闲暇；未婚，单身,高中
back off,,退后、后退或放弃：在面对困难、压力或争论时主动撤退或放弃立场。,
backdoor,ˈbækˌdɔːr,adj. 秘密的,
"background
",ˈbækɡraʊnd,n. 出身背景，学历，经历；（事件或情况的）背景；背景声音；（画等的）后景；底色,初中
backslash,ˈbækslæʃ,n. 反斜杠，反斜线符号,
backup,ˈbækʌp,n. 支援，增援；备用品，后备；备份；伴唱，伴奏；堵塞,CET4
backup device,ˈbækʌp dɪˈvaɪs,备份设备；备用设备,
backup file,ˈbækʌp faɪl,备份文件：指为了防止数据丢失或损坏而创建的副本文件，通常用于恢复原始文件的内容。,
backward compatible,,向后兼容的：与旧设备或先前版本的软件兼容的性质。,
ballot,ˈbælət,n. （无记名）投票选举，投票表决；选票；投票总数（the ballot）,CET4
bandwidth,ˈbændwɪdθˌˈbændwɪtθ,n. [电子][物] 带宽；[通信] 频带宽度,GRE
base class,,基类：其他类可以从中派生，继承其功能或接口的类；子类的潜在超类。,
base type,beɪs taɪp,基本类型：在计算机编程中，指的是一种基本的数据类型，如整数、浮点数、字符等。,
basis,ˈbeɪsɪs,n. 基础，要素；基准，方式；理由，根据；主要成分（或部分）,高中
batch,bætʃ,n. 一批，一批生产量,CET4
BCL,,abbr. 二进制文件；教会法规学士（Bachelor of Canon Law）；民法学士（Bachelor of Civil Law）,
bear,ber,v. 手持，携带；（车，船）运输，运送；写有，刻有；以（姓名，头衔）相称；见证，作证；承担，担负（责任）；经得起；承受，容忍；生育（孩子）；（树，植物）结（果实），长出（花）；拐弯,初中
bearer,ˈberər,n. 持票人；[建] 承木；[机] 托架；送信人；搬运工人；不记名（债券，股票等）,GMAT
beep,biːp,v. （机器）哔哔响，嘟嘟响；（使）（汽车喇叭）鸣响；用传呼机召唤，呼（某人）,
beeper,ˈbiːpər,n. 传呼机；能发出哔哔声音的仪器；导弹遥控员,
beforehand,bɪˈfɔːrhænd,adv. 事先，预先，提前,CET4
below,bɪˈloʊ,prep. （位置）在……下面； （数、量、水平等）在……以下；（职位、官衔等）低于,初中
benchmark,ˈbentʃmɑːrk,n. 基准；（监测计算机性能的）基准（问题）标准检查程序；（测量高度的）水准点，基准点,GMAT
"Beneath the surface
",,超出显而易见的范围：超越表面之下的事物。,
benign,bɪˈnaɪn,adj. 和蔼的，慈祥的；（物）无害的，温和的；（肿瘤）良性的；（疾病）无生命危险的；（条件、环境）良好的，宜人的；认为无关紧要的,CET6
bidder,ˈbɪdər,n. 投标人；出价人；命令者,商务英语
bilinear,baɪˈlɪnɪər,adj. 双线性的,
Bin Packing,,装箱问题：一种组合优化问题，目标是将一组物品放入一个或多个容器中，使得容器的利用率最大化。,
binary,ˈbaɪnəri,adj. 由两部分组成的，二重的；二进制的（用 0 和 1 记数）,TOEFL
binary tree,ˈbaɪnəri triː,二叉树：一种计算机网络，每个节点最多只有两个下属节点。,
binding,ˈbaɪndɪŋ,adj.  (协议，承诺）有约束力的，必须遵守的,CET4
BIOS,,abbr. 基本输入/输出系统 Basic Input / Output System）,
bit,bɪt,n. 小片，小块；小部分，片段；（一组东西中的）一个；<美>喜剧小品，小笑话；比特；辅币，12.5美分；马嚼子；钻头；<非正式>（与某活动、过程有关的）所有事情；<非正式>女孩，姑娘；<英，非正式>（人的）生殖器,初中
bitmap,ˈbɪtmæp,n. [计] 位图，位映像,
bitwise,,adj. （计算机）逐位，按位,
bitwise copy,,位元逐一复制,
"bitwise copy
",,位元逐一复制,
bitwise operation,,[计] 逐位运算,
block,blɑːk,n. 大块，一块（木料、石头等）；（四面临街的）街段，街区；大楼，大厦；栋，座，幢；障碍物，阻碍；（短时间的）思维停滞，思维中断；一组，一批，一叠；（连续的）一段时间；阻挡，拦截；积木；（古代斩首用的）垫头木；<美>一大片土地；（物体的）平面，纯色色块；滑轮，滑轮组；区块,初中
bogus,ˈboʊɡəs,adj. 假冒的，伪造的,GRE
bookkeeping,ˈbʊkkiːpɪŋ,n. 记帐，簿记,商务英语
boolean,ˈbuːliən,adj. 布尔数学体系的,
boot,buːt,n. 靴子；猛踢；（汽车的）行李箱，后备箱；车轮固定夹；解雇；再者，除此之外（to boot）,高中
border,ˈbɔːrdər,n. 国境，边界；镶边，包边；狭长花坛，花带,初中
bottleneck,ˈbɑːtlnek,n. 瓶颈；障碍物,商务英语
bounds checking,,边界检查,
boxing,ˈbɑːksɪŋ,n. 拳击（运动）,初中
brace,breɪs,v. （使）作好准备；支撑，加固；抵住，顶住；（身体或身体某部分）绷紧,CET6
bracket,ˈbrækɪt,n. （固定在墙上的）托架，支架；（收入、年龄等的）等级段，组级；括号；夹叉射击,CET4
breach,briːtʃ,n. 违反，破坏；（关系）中断，终止；缺口,CET6
breakpoint,ˈbreɪkˌpɔɪnt,n. [计] 断点，断裂点,
broadly,ˈbrɔːdli,adv. 广泛地，普遍地；大体上；（笑容）开怀地；多方面的，全面的,IELTS
browser applications,,浏览器应用程序,
brute,bruːt,n. 粗野的人，残忍的人；强壮的男子；大野兽，牲畜；笨重难看的东西，麻烦事,IELTS
budget,ˈbʌdʒɪt,n. 预算；政府预算案,高中
bug,bʌɡ,n. <美>昆虫，虫子；<非正式>小病，轻微的传染病；（计算机程序中的）漏洞，故障；窃听器；<非正式>热衷，着迷,CET4
build,bɪld,v. 建造，修建；发展，建立；逐渐增强,初中
built in,ˌbɪlt ˈɪn,内置的：使成为某物的固有部分。,IELTS
burglar,ˈbɜːrɡlər,n. 入室行窃者，窃贼,高中
business,ˈbɪznəs,n. 商业，买卖，生意；商务，公事；公司，企业；行业，职业；事务，职责；私事；事情；消费；系列事件,初中
business Logic,,商业逻辑：计算机软件系统中的算法，用于模拟现实生活中的商业对象及其相互作用。,
business rules,ˈbɪznəs ruːlz,业务规则：在企业中用于指导业务决策和操作的一组规定或原则，通常涉及到公司的政策、目标和流程。,
buttons,ˈbʌtnz,n. [电]按钮（button 的复数形式）；纽扣,高中
byproduct,ˈbaɪˌprɑːdʌkt,n. 副产品,GRE
"byte
",baɪt,n. 字节；8位元组,商务英语
cache,kæʃ,n. 隐藏处，秘窖；贮藏物，隐藏物（尤指武器）；高速缓冲存储器,GRE
calendar,ˈkælɪndər,n. 日历；日程表；记事录，大事记；历法,初中
call,kɔːl,v. 给……取名；称呼，把……唤作；把……看作，把……算作；呼喊（某人），喊，叫；安排，召集；召唤，呼唤；传唤（证人）；（给……）打电话；打电话叫……来；点（名），从（清单上）读出；（通过广播）呼叫（飞机乘客登机）；感召，敦促；批评，辱骂；（动物）啼叫，鸣叫；（模仿动物的叫声）把……引过来；（尤指短暂的）拜访，造访；（火车、船、公共汽车等）短暂停留；预测，推测；抛硬币说正反面；（比赛中裁判等）判定；（棒球比赛等因条件限制而）停止，取消；指挥，决定（进攻战术）；向跳方形舞（或乡村舞）的人喊出（舞步）；（扑克牌下同等赌注）叫（对方）摊牌，叫牌；执行子程序命令,初中
call operator,,呼叫运算子；呼叫话务员,
call operator call,,,
callback,ˈkɔːlbæk,n. 回收；回叫信号,
"callback
",ˈkɔːlbæk,n. 回收；回叫信号,
canonical,kəˈnɑːnɪkl,adj. 根据教规的，按照宗教法规的；真经的，正经的；标准的，典范的；准确的，权威的；公认的，依据科学法则的；（数学表达式）最简洁的；（与）公理（或标准公式）（有关）的；（与）教会（或教士）（有关）的,GRE
cant,kænt,n. （尤指道德、宗教等方面的）伪善言辞；流行语；黑话；斜面；楔形木材,SAT
capability,ˌkeɪpəˈbɪləti,n. 能力，才能；（国家的）军事力量；计算机性能,CET4
capacity,kəˈpæsəti,n. 能力，才能；容积，容纳能力；职位，职责；功率，容积；生产量，生产能力,高中
"capture
",ˈkæptʃər,v. 俘获，捕获；夺取，占领；吸引，引起；记录，体现；拍摄，录制；吃掉（国际象棋棋子）；使（数据）保存于电脑中；俘获（原子，亚原子粒）；（河流）袭夺,高中
caret,ˈkærət,n. 脱字符号；插入符号,
carry,ˈkæri,v. 提，扛，背；携带，佩戴；运送，载运；传输（水、电等）；（水流、空气）夹带；送（口信），捎带；传播（疾病）；能记住，能回想起；支撑，承载；对……负责；使有效，使成功；发展，推进到；具有（某种特质）；带来（某种结果或后果）；被判处（某种刑罚）；传得远；扔（或踢）到……距离；以多数同意批准（提议）；赢得……的支持；<美>在（某个州或地区）赢得选举；标有，贴有（标签）；刊登，广播；出售；怀（胎）；使以某种姿势站立（移动）；（加法）进位；扶助，供养；准确地唱；怀着（某种感情）；超重，超载；（把人或物）列入名单，登记在案；干（别人的活儿）,初中
cascade,kæˈskeɪd,n. 小瀑布（尤指大瀑布的一支）；倾泻，流注；瀑布状物；倾泻（或涌出）的东西；（很快发生的）一连串事情；（尤指信息或知识等的）连续传递过程；（一个过程中前一个引发后一个的）连续阶段，一系列装置,IELTS
cascading delete,,级联删除：在数据库中，当删除一个记录时，与其相关联的其他记录也会被自动删除的操作。,
cascading update,,级联更新,
casting,ˈkæstɪŋ,n. 角色分配，演员挑选；铸件，铸造物,高中
catalog,ˈkætəlɔːɡ,n. [图情][计]目录；登记,CET4
caveats,,n. 警告；说明（caveat 的复数）,GRE
centerpiece,ˈsentərpiːs,n. 中心装饰品；放在餐桌中央的摆饰,GRE
chain,tʃeɪn,n. 链，链条；一连串，一系列；连锁商店；镣铐；测链；连环式（指一群房主先售后购的置屋方式）；<文>约束，束缚,高中
chance,tʃæns,n. 机会，时机；可能性；危险，冒险；运气，偶然,初中
character,ˈkærəktər,n. 性格，品质；特色，特征；人物，角色；勇气，毅力；某种人，古怪有趣的人；（书写或印刷）符号，文字，字体；名誉，名声,初中
"character
",ˈkærəktər,n. 性格，品质；特色，特征；人物，角色；勇气，毅力；某种人，古怪有趣的人；（书写或印刷）符号，文字，字体；名誉，名声,初中
character format,,[计] 字符格式,
character set,,字符集：一组由特定字符编码编码的字符，用于表示一种字符编码所能表示的字符集合。,
characteristic,ˌker.ək.təˈrɪs.tɪk,n. 特征，特点，特色,高中
charged,tʃɑːrdʒd,adj. 引起强烈感情的，气氛紧张的；充电的，带电的,高中
check box,,选择框：在清单或表格中用于打勾选择、标记任务完成等的小方框。,
check button,,检查按钮：一种用于确认或检查信息的按钮，通常出现在电子设备或软件应用程序中。,
checked exception,tʃekt ɪkˈsepʃn,受检异常,
checkpoint,ˈtʃekpɔɪnt,n. 检查站，关卡,
child class,,子类,
CIL,,abbr．通用中间语言（Common Intermediate Language）：.NET框架中的一种中间语言，用于在不同编程语言之间实现互操作。,
ciphertext,ˈsaɪfərˌtekst,n. 密文,
circumvent,ˌsɜːrkəmˈvent,v. <正式>规避，回避；（为避免某物而）改道，绕过；克服（问题，困难）（尤指暗中智取）；<古>欺骗，智胜,GRE
cite,saɪt,v. 引用，援引；引证，引以为例；传唤，传讯；嘉奖，表彰,高中
claim,kleɪm,v. 声称，断言；索取，索要（钱）；要求（拥有），认领；使丧生，致命；赢得，获得；值得，需要（花时间或精力）,高中
class,klæs,n. 班级；（一节）课，上课时间；（某一科目的）课程；阶级，阶层；等级划分，等级制度；（货物、服务或人的）等级，类别；（飞机、火车等的）舱位等级，车厢等级；品味；同届毕业生；<英>（英国大学的）学位等级；（生物）（植物或动物分类的）纲；（比赛的）组别,初中
class body,,类别本体,
class declaration,,类别定义,
class definition,,类别定义,
class factory,,类工厂,
class head,,类别表头：指在表格或列表中，用于标识每一列的标题行。,
class hierarchy,,类层次结构：计算机科学中对象类型的分类，通过继承、扩展、抽象和接口定义等关系相互关联各个类别。,
class library,,类库：一种软件开发工具，包含了一组预先编写好的类和接口，用于帮助开发者更快速地构建应用程序。,
class loader,,类加载器：在Java编程语言中，类加载器是负责将类文件加载到Java虚拟机中的组件。它负责查找和加载类文件，并将其转换为可执行的Java字节码。,
class template,,类模板,
classification,ˌklæsɪfɪˈkeɪʃ(ə)n,n. 分类，分级；类别，级别；（动植物等的）分类学，分类法；（图书馆的书、磁带、杂志等的）分类系统，编目,CET4
clause,klɔːz,n. 从句，分句；（法律文件的）条款,CET4
cleanup,ˈklinˌʌp,n. 清除；暴利；清扫工作；第四防守位置,
CLI,,abbr. 命令行界面（Command Line Interface for batch scripting）；生活指数（Cost of Living Index）,
client,ˈklaɪənt,n. 客户，委托人；客户机，用户端；（古罗马）贵族庇护下的平民；<古>受赡养者，食客,高中
client application,ˈklaɪənt ˌæplɪˈkeɪʃn,客户端应用程序：一种运行在用户设备上的软件，用于与服务器端应用程序进行通信和交互。,
client area,,客户区；工作区,
client cursor,,客户端光标：在计算机界面中，表示用户当前操作位置的符号，通常是一个闪烁的竖线或箭头。,
client-server,ˌklaɪənt ˈsɜːrvər,adj. 客户（端）服务器的，主从式网络的,
clipboard,ˈklɪpbɔːrd,n. 剪贴板；附有纸夹的笔记板,
clone,kloʊn,n. （动植物的）无性繁殖，克隆；极为相似的人（或事物），复制品；仿制品，山寨货；复制器，仿制机；<非正式>外表或着装夸大男性气概的男同性恋者,初中
CLS,,abbr. 公共语言规范 Common Language Specification; 控制室监听；屏幕清除的系统命令,
"cluster
",ˈklʌstər,n. 组，簇；星团；一连串同类事件；（聚集在同一地方的）一群人；（计算机磁盘上的）丛集，群集；辅音群，辅音连缀；基,CET6
clutter,ˈklʌtər,n. 杂乱的东西；杂乱,GRE
coarse-grained,,adj. 粗鲁的；木纹粗糙的；粗略的，大概的,
code access security,,程式码存取安全性，代码访问安全性,
code page,,代码页,
coefficient,ˌkoʊɪˈfɪʃ(ə)nt,n. （数）系数；（物理）率，系数,TOEFL
COFF,,abbr. 通用目标文件格式（Common Object File Format）,
cohesive,koʊˈhiːsɪv,adj. 团结的，有凝聚力的；使团结的，使凝聚的,CET4
collaborative,kəˈlæbəreɪtɪv,adj. 合作的，协作的,CET4
collection,kəˈlekʃ(ə)n,n. 收藏品，收集物；募捐；一堆（东西），一群（人）；系列时装；专辑，作品集；领取，收取；收集，采集；收账，收债；<英>（尤指牛津大学的）学院期初（或期末）考试,高中
collector,kəˈlektər,n. 收藏家；[电子] 集电极；收税员；征收者,GRE
collude,kəˈluːd,vi. 勾结；串通；共谋,GRE
colon,ˈkoʊlən,n. 冒号；,CET4
column,ˈkɑːləm,n. 列,高中
COM,kɑːm,abbr. 组件对象模型（Component Object Model）；,
combined,kəmˈbaɪnd,adj. 联合的，共同的；总和的，总计的,初中
combo box,,组合框：一个图形用户界面小部件，结合了下拉列表或列表框和单行文本框的功能，允许用户直接输入值或从现有选项列表中选择。,
comma,ˈkɑːmə,n.  逗号；,初中
command line,kəˈmænd laɪn,命令行：计算机操作系统中的命令行界面，通常用于与用户交互。,
comment,ˈkɑːment,n. （计算机）注解,初中
commit,kəˈmɪt,v. 提交,高中
commonly,ˈkɑːmənli,adv. 通常，大多数人地,
commonsense,ˌkɑːmənˈsens,adj. 常识的；具有常识的,GRE
communication,kəˌmjuːnɪˈkeɪʃn,n. 表达，交流，交际；信息，书信，电话；通讯，交通联系；传播学,初中
communicator,kəˈmjuːnɪkeɪtər,n. 沟通的人，交流者；发报机；通信员,
compact,kəmˈpækt,adj. 小型的，袖珍的；紧凑的；紧密的，坚实的；矮小而健壮的；（演讲，作品）简洁的，简练的,CET4
companion,kəmˈpænjən,n. 同伴，伴侣；（受雇照料老人或病人的）陪护；成对的物品之一；同甘共苦的伙伴；（用于书名）指南，手册；伴星；最低级爵士,高中
comparison,kəmˈpærɪsn,n. 比较，对照；相提并论，相比；比喻，比拟；（副词或形容词的）比较（变化）,高中
compatible,kəmˈpætəb(ə)l,adj. 兼容的；可共存的；可和睦相处的；与……一致的,CET4
compensate,ˈkɑːmpenseɪt,v. 赔偿，偿付；弥补，补偿；抵消；酬报（某人）,高中
compile time,kəmˈpaɪl taɪm,编译时间：程序从源代码转换为机器代码的时间点，通常用于描述编译的时间。,
compiler,kəmˈpaɪlər,n. 编译器；[计] 编译程序；编辑者，汇编者,
complement,ˈkɑːmplɪment,v. 补充，补足,CET6
complete,kəmˈpliːt,adj. 完全的 v. 使完整,初中
complexity,kəmˈpleksəti,n. 复杂性，错综复杂；复杂之处，费解之处,CET4
compliance,kəmˈplaɪəns,n. 服从，遵守；屈从，迁就；可塑性，柔量,CET4
component,kəmˈpoʊnənt,n. 组成部分，成分，部件,高中
compose,kəmˈpoʊz,v. 组成，构成；作曲；撰写（信、诗或演讲稿）；使镇静，使平静；为（照片、图像）构图；排版，排稿,高中
